sport,league,team_a,team_b,starts_at,label,stream_type,stream_url,verified,verify_message
"WWE","Monday Night Raw","Monday Night Raw","Monday Night Raw","2026-08-18T00:00:00.000Z","SP","hls","https://raw.githubusercontent.com/athenapanda26/hls/refs/heads/main/raw.m3u8","OK","OK (master)"
"WWE","Monday Night Raw","Monday Night Raw","Monday Night Raw","2026-08-18T00:00:00.000Z","SP - 2","dash","https://otte.cache.aiv-cdn.net/iad-nitro/live/clients/dash/enc/rhf2dwosdt/out/v1/ee550d2a68d846c797e6ce4de2e8b76d/cenc.mpd","OK","OK (MPD)"
"Cricket","India in Sri Lanka, 2026","Sri Lanka","India","2026-08-18T04:30:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/iad-nitro/live/clients/dash/enc/deaahgx71n/out/v1/7c443871ca8541d0812335763b75377c/cenc.mpd","FAIL","not MPD"
"Cricket","India in Sri Lanka, 2026","Sri Lanka","India","2026-08-18T04:30:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570053.m3u8","FAIL","not M3U8"
"Cricket","India in Sri Lanka, 2026","Sri Lanka","India","2026-08-18T04:30:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570037.m3u8","FAIL","not M3U8"
"Cricket","India in Sri Lanka, 2026","Sri Lanka","India","2026-08-18T04:30:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570060.m3u8","FAIL","not M3U8"
"Cricket","Pakistan National Champions Cup","Pakistan National Champions Cup","Pakistan National Champions Cup","2026-08-18T10:00:00.000Z","Hindi","hls","http://dai.google.com/ssai/event/MArqTlj6SOeNU3ZO3-0i0Q/master.m3u8|User-Agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0&Referer=https://www.sonyliv.com/&Origin=https://www.sonyliv.com","FAIL","not M3U8"
"Cricket","Pakistan National Champions Cup","Pakistan National Champions Cup","Pakistan National Champions Cup","2026-08-18T10:00:00.000Z","SonyLIV","hls","https://dai.google.com/ssai/event/DgeLzKxsSMuwfRa8znq4RQ/master.m3u8|User-Agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0&Referer=https://www.sonyliv.com/&Origin=https://www.sonyliv.com&x-playback-session-id=0364963809a65d36dbd35c6ce8841b87-1786852462979","FAIL","not M3U8"
"Football","Kings Cup 26/27","Al-Najma SC","Al-Ittihad","2026-08-18T16:15:00.000Z","Server 1","hls","https://hls.live123.fans/live/4602287.m3u8","FAIL","not M3U8"
"Football","Kings Cup 26/27","Al-Okhdood","Al-Khaleej","2026-08-18T16:15:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570035.m3u8","FAIL","not M3U8"
